title,Author,ASIN,seedNode,Modularity Class,In-Degree,Out-Degree,Degree,Eigenvector Centrality
"Corrosive Signs: Essays on Experimental Poetry (Visual, Concrete, Alternative) (Visual, Concrete, Alternative)",Cesar Espinosa,0944624103,,7,2,10,12,0.020508086866072816
Media Poetry: An International Anthology,Eduardo Kac,1841500305,,7,2,7,9,0.020508086866072816
Against Expression: An Anthology of Conceptual Writing (Agm Collection),"Craig Dworkin,Kenneth Goldsmith (eds)",0810127113,,7,1,0,1,0.020832227467604533
Attack of the Difficult Poems: Essays and Inventions,Charles Bernstein,0226044777,,7,1,0,1,0.020832227467604533
Eunoia,Christian Bok,1552452255,,7,1,0,1,0.020832227467604533
A Humument: A Treated Victorian Novel (Fifth Edition),Tom Phillips,0500289999,,7,1,0,1,0.020832227467604533
If,Leonard Schwartz,1584980923,,7,1,0,1,0.020832227467604533
Notes on Conceptualisms,"Vanessa Place, Robert Fitterman",1933254467,,7,1,0,1,0.020832227467604533
The Secret Teachings of Plants: The Intelligence of the Heart in the Direct Perception of Nature,Stephen Harrod Buhner,1591430356,,7,1,0,1,0.020832227467604533
The Midnight,Susan Howe,0811215385,,7,1,0,1,0.020832227467604533
The New Sentence,Ron Silliman,0937804207,,7,1,0,1,0.020832227467604533
Pikachu s Global Adventure: The Rise and Fall of Pok√©mon,Joseph Tobin (ed),0822332876,,0,1,0,1,0.044769032804240674
Protocol: How Control Exists after Decentralization (Leonardo Book Series),Alexander R. Galloway,0262572338,,0,1,0,1,0.044769032804240674
Sound Unbound: Sampling Digital Music and Culture,"Paul D. Miller,Steve Reich (eds)",0262633639,,0,1,0,1,0.044769032804240674
Beginning Theory: An Introduction to Literary and Cultural Theory,Peter Barry,0719079276,,0,1,0,1,0.044769032804240674
"The Aesthetics of Visual Poetry, 1914-1928",Willard Bohn,0226063259,,7,2,0,2,0.013088059753294046
Diez Comedias del Siglo de Oro (Spanish Edition),"Jose Martel,Hymen Alpern,Leonard Mades (eds)",0881331198,,7,2,0,2,0.013088059753294046
Pattern Poetry: Guide to an Unknown Literature,Dick Higgins,0887064140,,7,1,0,1,0.006544029876647028
"The Visible Word: Experimental Typography and Modern Art, 1909-1923",Johanna Drucker,0226165027,,7,1,0,1,0.006544029876647028
The Language Book (Poetics of the New),"Bruce Andrews,Professor Charles Bernstein (eds)",0809311062,,7,1,0,1,0.006544029876647028
Digital Poetics: The Making Of E-Poetries,Loss Glazier,0817310754,,7,1,0,1,0.021233427668118785
The Future of Higher Education (Framing 21st Century Social Issues),"Dan Clawson, Max Page",0415892066,,7,1,0,1,0.021233427668118785
What Is Posthumanism? (Posthumanities),Cary Wolfe,0816666156,,7,1,0,1,0.006544029876647028
Understanding Media: The Extensions of Man,"Marshall McLuhan, Lewis H. Lapham",0262631598,,2,1,0,1,0.040243606013756414
